air_basin,burn_day_decision_code,date,description
North Central Coast San Lorenzo Valley,B,3/12/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/12/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/12/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/12/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/12/2020,Permissive Burn Day Decision 
South Coast,B,3/12/2020,Permissive Burn Day Decision 
San Diego West High,B,3/12/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/12/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/12/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/12/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/12/2020,Good
Sacramento Valley Low,2R,3/12/2020,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,37.4p,3/12/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/12/2020,Good
Mountain Counties North,G,3/12/2020,Good
Mountain Counties South,G,3/12/2020,Good
Lake Tahoe,B,3/12/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/12/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/12/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),1,3/12/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/12/2020,
North Coast High,G,3/13/2020,Good
North Coast Low,B,3/13/2020,Permissive Burn Day Decision 
Lake County  ,B,3/13/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/13/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/13/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/13/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/13/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/13/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/13/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/13/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/13/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/13/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/13/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/13/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/13/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/13/2020,Permissive Burn Day Decision 
South Coast,B,3/13/2020,Permissive Burn Day Decision 
San Diego West High,B,3/13/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/13/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/13/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/13/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/13/2020,Good
Sacramento Valley Low,3,3/13/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,17.7p,3/13/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/13/2020,Good
Mountain Counties North,G,3/13/2020,Good
Mountain Counties South,G,3/13/2020,Good
Lake Tahoe,B,3/13/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/13/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/13/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/13/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/13/2020,
North Coast High,G,3/14/2020,Good
North Coast Low,B,3/14/2020,Permissive Burn Day Decision 
Lake County  ,B,3/14/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/14/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/14/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/14/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/14/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/14/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/14/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/14/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/14/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/14/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/14/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/14/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/14/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/14/2020,Permissive Burn Day Decision 
South Coast,B,3/14/2020,Permissive Burn Day Decision 
San Diego West High,B,3/14/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/14/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/14/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/14/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/14/2020,Good
Sacramento Valley Low,2,3/14/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,53.2p,3/14/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/14/2020,Good
Mountain Counties North,G,3/14/2020,Good
Mountain Counties South,G,3/14/2020,Good
Lake Tahoe,B,3/14/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/14/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/14/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/14/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/14/2020,
North Coast High,G,3/15/2020,Good
North Coast Low,B,3/15/2020,Permissive Burn Day Decision 
Lake County  ,B,3/15/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/15/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/15/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/15/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/15/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/15/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/15/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/15/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/15/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/15/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/15/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/15/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/15/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/15/2020,Permissive Burn Day Decision 
South Coast,B,3/15/2020,Permissive Burn Day Decision 
San Diego West High,B,3/15/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/15/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/15/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/15/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/15/2020,Good
Sacramento Valley Low,2w,3/15/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,1.2,3/15/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/15/2020,Good
Mountain Counties North,G,3/15/2020,Good
Mountain Counties South,G,3/15/2020,Good
Lake Tahoe,B,3/15/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/15/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/15/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/15/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/15/2020,
North Coast High,G,3/16/2020,Good
North Coast Low,B,3/16/2020,Permissive Burn Day Decision 
Lake County  ,B,3/16/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/16/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/16/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/16/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/16/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/16/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/16/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/16/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/16/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/16/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/16/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/16/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/16/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/16/2020,Permissive Burn Day Decision 
South Coast,B,3/16/2020,Permissive Burn Day Decision 
San Diego West High,B,3/16/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/16/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/16/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/16/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/16/2020,Good
Sacramento Valley Low,2w,3/16/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,10.6,3/16/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/16/2020,Good
Mountain Counties North,G,3/16/2020,Good
Mountain Counties South,G,3/16/2020,Good
Lake Tahoe,B,3/16/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/16/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/16/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/16/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/16/2020,
North Coast High,G,3/17/2020,Good
North Coast Low,B,3/17/2020,Permissive Burn Day Decision 
Lake County  ,B,3/17/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/17/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/17/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/17/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/17/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/17/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/17/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/17/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/17/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/17/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/17/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/17/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/17/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/17/2020,Permissive Burn Day Decision 
South Coast,B,3/17/2020,Permissive Burn Day Decision 
San Diego West High,B,3/17/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/17/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/17/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/17/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/17/2020,Good
Sacramento Valley Low,2w,3/17/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,22.3p,3/17/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/17/2020,Good
Mountain Counties North,G,3/17/2020,Good
Mountain Counties South,G,3/17/2020,Good
Lake Tahoe,B,3/17/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/17/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/17/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/17/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/17/2020,
North Coast High,G,3/18/2020,Good
North Coast Low,B,3/18/2020,Permissive Burn Day Decision 
Lake County  ,B,3/18/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/18/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/18/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/18/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/18/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/18/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/18/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/18/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/18/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/18/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/18/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/18/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/18/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/18/2020,Permissive Burn Day Decision 
South Coast,B,3/18/2020,Permissive Burn Day Decision 
San Diego West High,B,3/18/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/18/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/18/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/18/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/18/2020,Good
Sacramento Valley Low,2w,3/18/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,34.9p,3/18/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/18/2020,Good
Mountain Counties North,G,3/18/2020,Good
Mountain Counties South,G,3/18/2020,Good
Lake Tahoe,B,3/18/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/18/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/18/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/18/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/18/2020,
North Coast High,G,3/19/2020,Good
North Coast Low,B,3/19/2020,Permissive Burn Day Decision 
Lake County  ,B,3/19/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/19/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/19/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/19/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/19/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/19/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/19/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/19/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/19/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/19/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/19/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/19/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/19/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/19/2020,Permissive Burn Day Decision 
South Coast,B,3/19/2020,Permissive Burn Day Decision 
San Diego West High,B,3/19/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/19/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/19/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/19/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/19/2020,Good
Sacramento Valley Low,2w,3/19/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,30.2p,3/19/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/19/2020,Good
Mountain Counties North,G,3/19/2020,Good
Mountain Counties South,G,3/19/2020,Good
Lake Tahoe,B,3/19/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/19/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/19/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),20,3/19/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/19/2020,
North Coast High,G,3/20/2020,Good
North Coast Low,B,3/20/2020,Permissive Burn Day Decision 
Lake County  ,B,3/20/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/20/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/20/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/20/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/20/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/20/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/20/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/20/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/20/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/20/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/20/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/20/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/20/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/20/2020,Permissive Burn Day Decision 
South Coast,B,3/20/2020,Permissive Burn Day Decision 
San Diego West High,B,3/20/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/20/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/20/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/20/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/20/2020,Good
Sacramento Valley Low,2w,3/20/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,20p,3/20/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/20/2020,Good
Mountain Counties North,G,3/20/2020,Good
Mountain Counties South,G,3/20/2020,Good
Lake Tahoe,B,3/20/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/20/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/20/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/20/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/20/2020,
North Coast High,G,3/21/2020,Good
North Coast Low,B,3/21/2020,Permissive Burn Day Decision 
Lake County  ,B,3/21/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/21/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/21/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/21/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/21/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/21/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/21/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/21/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/21/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/21/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/21/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/21/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/21/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/21/2020,Permissive Burn Day Decision 
South Coast,B,3/21/2020,Permissive Burn Day Decision 
San Diego West High,B,3/21/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/21/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/21/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/21/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/21/2020,Good
Sacramento Valley Low,3,3/21/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,21.2,3/21/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/21/2020,Good
Mountain Counties North,G,3/21/2020,Good
Mountain Counties South,G,3/21/2020,Good
Lake Tahoe,B,3/21/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/21/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/21/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),10,3/21/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/21/2020,
North Coast High,G,3/22/2020,Good
North Coast Low,B,3/22/2020,Permissive Burn Day Decision 
Lake County  ,B,3/22/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/22/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/22/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/22/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/22/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/22/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/22/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/22/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/22/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/22/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/22/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/22/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/22/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/22/2020,Permissive Burn Day Decision 
South Coast,B,3/22/2020,Permissive Burn Day Decision 
San Diego West High,B,3/22/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/22/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/22/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/22/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/22/2020,Good
Sacramento Valley Low,3,3/22/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,6.8,3/22/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/22/2020,Good
Mountain Counties North,G,3/22/2020,Good
Mountain Counties South,G,3/22/2020,Good
Lake Tahoe,B,3/22/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/22/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/22/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/22/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/22/2020,
North Coast High,G,3/23/2020,Good
North Coast Low,B,3/23/2020,Permissive Burn Day Decision 
Lake County  ,B,3/23/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/23/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/23/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/23/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/23/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/23/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/23/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/23/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/23/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/23/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/23/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/23/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/23/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/23/2020,Permissive Burn Day Decision 
South Coast,B,3/23/2020,Permissive Burn Day Decision 
San Diego West High,B,3/23/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/23/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/23/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/23/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/23/2020,Good
Sacramento Valley Low,3,3/23/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,16.8p,3/23/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/23/2020,Good
Mountain Counties North,G,3/23/2020,Good
Mountain Counties South,G,3/23/2020,Good
Lake Tahoe,B,3/23/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/23/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/23/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/23/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/23/2020,
North Coast High,G,3/24/2020,Good
North Coast Low,B,3/24/2020,Permissive Burn Day Decision 
Lake County  ,B,3/24/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/24/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/24/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/24/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/24/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/24/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/24/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/24/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/24/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,3/24/2020,Permissive Burn Day Decision 
South Central Coast High,B,3/24/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,3/24/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,3/24/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,3/24/2020,Permissive Burn Day Decision 
South Coast,B,3/24/2020,Permissive Burn Day Decision 
San Diego West High,B,3/24/2020,Permissive Burn Day Decision 
San Diego West Low,B,3/24/2020,Permissive Burn Day Decision 
Mojave Desert,B,3/24/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,3/24/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,3/24/2020,Good
Sacramento Valley Low,3,3/24/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,20.9p,3/24/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,3/24/2020,Good
Mountain Counties North,G,3/24/2020,Good
Mountain Counties South,G,3/24/2020,Good
Lake Tahoe,B,3/24/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,3/24/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,3/24/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,3/24/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,3/24/2020,
North Coast High,G,3/25/2020,Good
North Coast Low,B,3/25/2020,Permissive Burn Day Decision 
Lake County  ,B,3/25/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,3/25/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,3/25/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,3/25/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,3/25/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,3/25/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,3/25/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,3/25/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,3/25/2020,Permissive Burn Day Decision 
